symbol,date,period,delay_s,status,fill_price,t_star,pnl_replay
ALAR,2025-06-10,2025H1,1,filled,12.33,3.875393315,-59.6286289612207
ALAR,2025-06-10,2025H1,2,filled,12.33,3.875393315,-59.6286289612207
ALAR,2025-06-10,2025H1,3,filled,12.33,3.875393315,-59.6286289612207
ALAR,2025-06-10,2025H1,5,skipped_guard,,3.875393315,0.0
ALAR,2025-06-10,2025H1,10,skipped_guard,,3.875393315,0.0
ALAR,2025-06-10,2025H1,15,skipped_guard,,3.875393315,0.0
ALAR,2025-06-10,2025H1,20,skipped_guard,,3.875393315,0.0
ALAR,2025-06-10,2025H1,30,skipped_guard,,3.875393315,0.0
ALAR,2025-06-10,2025H1,45,skipped_guard,,3.875393315,0.0
ALAR,2025-06-10,2025H1,60,skipped_guard,,3.875393315,0.0
ALAR,2025-06-10,2025H1,90,skipped_guard,,3.875393315,0.0
RGTIW,2025-06-11,2025H1,0,unfilled_no_tstar,,,0.0
RGTIW,2025-06-11,2025H1,1,unfilled_no_tstar,,,0.0
RGTIW,2025-06-11,2025H1,2,unfilled_no_tstar,,,0.0
RGTIW,2025-06-11,2025H1,3,unfilled_no_tstar,,,0.0
RGTIW,2025-06-11,2025H1,5,unfilled_no_tstar,,,0.0
RGTIW,2025-06-11,2025H1,10,unfilled_no_tstar,,,0.0
RGTIW,2025-06-11,2025H1,15,unfilled_no_tstar,,,0.0
RGTIW,2025-06-11,2025H1,20,unfilled_no_tstar,,,0.0
RGTIW,2025-06-11,2025H1,30,unfilled_no_tstar,,,0.0
RGTIW,2025-06-11,2025H1,45,unfilled_no_tstar,,,0.0
RGTIW,2025-06-11,2025H1,60,unfilled_no_tstar,,,0.0
RGTIW,2025-06-11,2025H1,90,unfilled_no_tstar,,,0.0
FMST,2025-06-11,2025H1,0,filled,3.86,132.198151188,-186.54781075956842
FMST,2025-06-11,2025H1,1,filled,3.86,132.198151188,-186.54781075956842
FMST,2025-06-11,2025H1,2,filled,3.86,132.198151188,-186.54781075956842
FMST,2025-06-11,2025H1,3,filled,3.86,132.198151188,-186.54781075956842
FMST,2025-06-11,2025H1,5,filled,3.86,132.198151188,-186.54781075956842
FMST,2025-06-11,2025H1,10,filled,3.86,132.198151188,-186.54781075956842
FMST,2025-06-11,2025H1,15,filled,3.86,132.198151188,-186.54781075956842
