day,symbol,entry_m,ctrl_entry_m,rr,why
2025-07-24,IONL,690,675,0.3455604484633103,eod
2025-07-25,PLTU,591,576,0.19764593700646693,eod
2025-07-28,AMDG,591,576,1.1167611107683877,eod
2025-07-28,SMCL,601,586,2.0,target
2025-07-28,SMCX,602,587,2.0,target
2025-07-28,SMCI,647,632,2.0,target
2025-07-29,MOD,585,570,1.2532477598983016,eod
2025-07-29,AMDG,601,586,-1.1556833379852627,stop
2025-07-29,SNPS,603,588,-0.21253121723844753,eod
2025-07-30,HIMS,588,573,2.0,target
2025-07-30,SMR,593,578,-1.0499215686274481,stop
2025-07-30,SMCX,596,581,2.0,target
2025-07-30,ROBN,623,608,-1.0716666666666617,stop
2025-07-30,BMNR,651,636,2.0,target
2025-07-30,NEGG,693,678,2.0,target
2025-08-01,NEGG,587,572,-1.0079263977353152,stop
2025-08-01,TSDD,603,588,-1.062447368421057,stop
2025-08-01,INOD,612,597,0.018395143985577043,eod
2025-08-01,MP,613,598,1.6647475692185327,eod
2025-08-01,GLXY,617,602,2.0,target
