symbol,bar_date,ratio
NXTC,2020-07-13,0.4759507829977629
NYMT,2020-03-24,0.54
OCX,2020-06-29,0.5044510385756676
ODP,2020-07-01,9.327731092436975
OPGN,2020-02-27,2.22
OPGN,2020-03-16,2.025
PHIO,2020-01-15,47.87910922587486
PHIO,2020-02-11,0.4362818590704648
PHUN,2020-05-20,2.0923076923076924
PIXY,2020-01-07,2.760545905707196
POLA,2020-06-30,3.011904761904762
PTGX,2020-05-08,1.9197930142302715
QRTEA,2020-07-13,0.48920863309352514
QRTEA,2020-07-14,2.0462184873949583
RAND,2020-03-19,2.5045454545454544
RAND,2020-03-20,0.41560798548094374
RAND,2020-05-22,7.987012987012987
RCEL,2020-06-30,5.366726296958856
RMBL,2020-05-20,17.708333333333336
SAVA,2020-05-15,0.23409090909090907
SGBX,2020-02-06,20.666666666666664
SGBX,2020-03-31,4.891891891891892
SHIP,2020-03-31,0.5229846768820786
SHIP,2020-06-30,13.627760252365931
SINT,2020-06-22,2.562111801242236
SLNO,2020-06-08,0.4852941176470588
SLRX,2020-02-07,0.4029850746268657
SNES,2020-02-05,19.25714285714286
SNOA,2020-05-28,2.071428571428571
SONM,2020-03-11,0.47777202072538866
TBLT,2020-04-15,9.114085404716379
