day,symbol,hour,entry_m,entry,ref,sess_open,hour_high,price,gate5,f_mir2,f_up2,f_abs,f_rand,filled_cap,uptick,low_to_entry,sess_low,stop_a,rpct_a,rr_a_bare,why_a_bare,exitm_a_bare,rr_a_tgt,why_a_tgt,exitm_a_tgt,stop_b,rpct_b,rr_b_bare,why_b_bare,exitm_b_bare,rr_b_tgt,why_b_tgt,exitm_b_tgt
2025-01-30,TITN,9,600,19.28,19.28,18.25,19.51,19.28,True,True,True,False,False,True,False,18.18,18.18,19.6656,0.020000000000000007,1.322614107883821,eod,955,1.322614107883821,eod,955,19.51,0.011929460580912885,-1.0848260869565076,stop,724,-1.0848260869565076,stop,724
2025-01-30,TSL,13,840,17.91,17.91,18.38,18.2399,17.91,False,False,False,True,False,True,False,16.94,16.94,18.2682,0.020000000000000004,0.1395868230039104,eod,955,0.1395868230039104,eod,955,18.2399,0.018419877163595673,0.15156107911488612,eod,955,0.15156107911488612,eod,955
2025-01-30,UTI,13,840,27.21,27.21,26.6,27.4699,27.21,False,False,False,True,False,True,False,26.3,26.3,27.7542,0.02,-0.7350238882763663,eod,955,-0.7350238882763663,eod,955,27.482100000000003,0.010000000000000066,-1.1009999999999873,stop,855,-1.1009999999999873,stop,855
2025-01-30,YANG,14,900,55.32,55.29,60.04,55.8,55.32,False,False,False,True,False,True,True,54.89,54.89,56.4264,0.020000000000000014,-1.050999999999993,stop,938,-1.050999999999993,stop,938,55.873200000000004,0.010000000000000071,-1.1009999999999875,stop,937,-1.1009999999999875,stop,937
2025-01-30,ASAN,10,660,21.39,21.39,21.7,22.28,21.39,False,False,False,False,True,True,False,21.305,21.1,21.817800000000002,0.02000000000000006,0.2103786816269275,eod,955,0.2103786816269275,eod,955,22.28,0.041608228143992544,0.10112359550561775,eod,955,0.10112359550561775,eod,955
2025-01-30,CLB,13,840,17.245,17.245,17.36,17.61,17.245,True,False,False,False,True,True,False,17.06,17.06,17.5899,0.019999999999999945,-1.0509999999999922,stop,908,-1.0509999999999922,stop,908,17.61,0.021165555233400895,-1.0482465753424597,stop,908,-1.0482465753424597,stop,908
2025-01-30,CLFD,10,661,38.38,38.4,37.82,38.81,38.38,False,False,False,False,True,True,False,37.76,34.2,39.147600000000004,0.020000000000000042,4.87232933819697,eod,955,2.0,target,885,38.81,0.011203751954142775,-1.1133020930232271,stop,706,-1.1133020930232271,stop,706
2025-01-30,CLS,10,660,112.295,112.29,117.1,117.35,112.295,False,False,False,False,True,True,True,111.0,111.0,114.54090000000001,0.020000000000000052,-1.0509999999999973,stop,685,-1.0509999999999973,stop,685,117.35,0.045015361325081195,-0.380811078140455,eod,955,-0.380811078140455,eod,955
2025-01-30,CURV,10,662,6.57,6.58,6.57,6.75,6.57,False,False,False,False,True,True,False,6.4,6.4,6.7014000000000005,0.020000000000000028,-1.0509999999999922,stop,825,-1.0509999999999922,stop,825,6.75,0.02739726027397256,-1.0374999999999965,stop,878,-1.0374999999999965,stop,878
2025-01-30,DBI,12,780,4.965,4.97,5.08,5.1,4.965,False,False,False,False,True,True,False,4.865,4.865,5.0643,0.02000000000000008,-1.05099999999999,stop,816,-1.05099999999999,stop,816,5.1,0.027190332326283945,-1.0377777777777752,stop,819,-1.0377777777777752,stop,819
2025-01-30,HWKN,9,600,115.97,116.915,115.0,117.6,115.97,False,False,False,False,True,False,False,113.49,101.84,118.2894,0.020000000000000014,4.03552642924894,eod,955,2.0,target,626,117.6,0.014055359144606325,5.742331288343574,eod,955,2.0,target,622
2025-01-30,IMPP,10,661,2.79,2.7905,2.76,2.838,2.79,False,False,False,False,True,True,False,2.76,2.76,2.8458,0.020000000000000025,-1.0509999999999962,stop,777,-1.0509999999999962,stop,777,2.838,0.01720430107526883,-1.1008333333333185,stop,756,-1.1008333333333185,stop,756
2025-01-30,INGN,12,780,12.13,12.11,12.72,12.13,12.13,False,False,False,False,True,True,True,12.01,11.92,12.3726,0.019999999999999955,0.6595218466611726,eod,955,0.6595218466611726,eod,955,12.2513,0.009999999999999978,1.3190436933223453,eod,955,1.3190436933223453,eod,955
2025-01-30,JMIA,12,780,4.165,4.165,3.99,4.26,4.165,True,False,False,False,True,True,False,3.99,3.99,4.2483,0.02000000000000009,-1.0509999999999942,stop,917,-1.0509999999999942,stop,917,4.26,0.022809123649459723,-1.0448421052631527,stop,917,-1.0448421052631527,stop,917
2025-01-30,KRNY,9,600,7.35,7.34,7.1,7.36,7.35,False,False,False,False,True,True,True,7.1,6.72,7.497,0.020000000000000035,3.027210884353732,eod,955,2.0,target,727,7.4235,0.010000000000000018,6.054421768707464,eod,955,2.0,target,622
2025-01-30,MSFL,14,900,22.31,22.3,22.66,22.31,22.31,False,False,False,False,True,True,True,22.02,22.02,22.7562,0.02000000000000005,-0.08964589870014031,eod,955,-0.08964589870014031,eod,955,22.533099999999997,0.009999999999999945,-0.17929179740028206,eod,955,-0.17929179740028206,eod,955
2025-01-30,TITN,13,841,19.17,19.1686,18.25,19.22,19.17,True,False,False,False,True,True,True,18.18,18.18,19.553400000000003,0.02000000000000009,1.0432968179447062,eod,955,1.0432968179447062,eod,955,19.361700000000003,0.010000000000000045,2.0865936358894124,eod,955,2.0,target,951
2025-01-31,ACDC,14,900,7.27,7.3,7.64,7.3,7.27,False,False,False,True,False,True,False,7.1775,7.1775,7.4154,0.02000000000000006,-0.2751031636863818,eod,955,-0.2751031636863818,eod,955,7.3427,0.01000000000000003,-1.201513067400257,stop,935,-1.201513067400257,stop,935
2025-01-31,AESI,9,600,23.0,22.98,24.14,24.14,23.0,False,True,False,False,False,True,True,22.88,22.8751,23.46,0.02000000000000004,-1.0509999999999922,stop,614,-1.0509999999999922,stop,614,24.14,0.04956521739130437,0.00877192982456277,eod,955,0.00877192982456277,eod,955
2025-01-31,AESI,10,660,23.19,23.16,24.14,23.55,23.19,False,False,False,True,False,True,True,22.8751,22.8751,23.6538,0.01999999999999996,0.43122035360069694,eod,955,0.43122035360069694,eod,955,23.55,0.015523932729624813,-1.0654166666666574,stop,691,-1.0654166666666574,stop,691
2025-01-31,AESI,11,720,23.405,23.38,24.14,23.61,23.405,False,False,False,True,False,True,True,22.8751,22.8751,23.8731,0.019999999999999987,0.8865627002777247,eod,955,0.8865627002777247,eod,955,23.63905,0.009999999999999993,1.7731254005554493,eod,955,2.0,target,840
2025-01-31,AESI,13,840,23.05,23.06,24.14,23.27,23.05,False,False,False,True,False,True,False,22.8751,22.8751,23.511000000000003,0.02000000000000009,0.13015184381779177,eod,955,0.13015184381779177,eod,955,23.2805,0.009999999999999967,0.26030368763558553,eod,955,0.26030368763558553,eod,955
