symbol,tradable,shortable,easy_to_borrow,exchange
DEHP,True,False,False,AssetExchange.ARCA
DDTY,True,False,False,AssetExchange.BATS
DDTO,True,False,False,AssetExchange.BATS
ADTN,True,True,True,AssetExchange.NASDAQ
DDTN,True,False,False,AssetExchange.BATS
ADUS,True,True,True,AssetExchange.NASDAQ
DCGO,True,False,False,AssetExchange.NASDAQ
DCBG,True,False,False,AssetExchange.NYSE
BTMD,True,True,True,AssetExchange.NASDAQ
ADV,True,True,True,AssetExchange.NASDAQ
AEBI,True,True,True,AssetExchange.NASDAQ
AEF,True,True,True,AssetExchange.AMEX
DBJP,True,False,False,AssetExchange.ARCA
DBGI,True,False,False,AssetExchange.NASDAQ
AEHR,True,True,True,AssetExchange.NASDAQ
AEIS,True,True,True,AssetExchange.NASDAQ
AEO,True,True,True,AssetExchange.NYSE
DBEZ,True,False,False,AssetExchange.ARCA
RPD,True,True,True,AssetExchange.NASDAQ
DBEM,True,False,False,AssetExchange.ARCA
DBCAU,True,False,False,AssetExchange.NASDAQ
DBCA,True,False,False,AssetExchange.NASDAQ
AEP,True,True,True,AssetExchange.NASDAQ
AESI,True,True,True,AssetExchange.NYSE
DAVEW,True,False,False,AssetExchange.NASDAQ
DAUG,True,False,False,AssetExchange.BATS
AEVA,True,True,True,AssetExchange.NASDAQ
DARP,True,False,False,AssetExchange.ARCA
AFCG,True,True,True,AssetExchange.NASDAQ
AFG,True,True,True,AssetExchange.NYSE
SID,True,True,True,AssetExchange.NYSE
