day,symbol,m,sp_mean,sp_med,mid_med,bid_med,bid_max,n_q,err
2026-02-03,BCYC,955,0.009999999999999787,0.009999999999999787,5.995,5.99,5.99,14,
2026-02-04,BV,901,0.022173913043477787,0.019999999999999574,12.93,12.92,12.92,23,
2026-02-04,MANH,955,0.15883211678832132,0.05000000000001137,138.42000000000002,138.37,138.53,137,
2026-02-04,XPO,950,0.1531186440677983,0.12000000000000455,179.445,179.4,179.51,295,
2026-02-05,MBUU,903,0.16685714285714315,0.1999999999999993,31.130000000000003,31.05,31.11,35,
2026-02-05,MBUU,904,0.21750000000000203,0.22000000000000242,31.189999999999998,31.08,31.09,4,
2026-02-05,MBUU,908,0.24109589041095927,0.21000000000000085,31.785,31.69,31.75,73,
2026-02-05,MBUU,955,0.09396551724137923,0.10999999999999943,30.755,30.68,30.83,116,
2026-02-05,MSGS,817,2.2314285714285313,1.919999999999959,274.38,273.42,273.42,7,
2026-02-05,MSGS,851,1.7323076923076668,1.7899999999999636,275.875,274.98,275.83,26,
2026-02-05,MSGS,852,1.1500000000000057,1.1500000000000057,276.405,275.83,275.83,6,
2026-02-05,SCSC,605,,,,,,0,
2026-02-05,SCSC,676,0.667941176470588,0.6099999999999994,37.155,36.85,36.86,34,
2026-02-05,SCSC,907,0.16841269841269693,0.17999999999999972,37.19,37.13,37.27,63,
2026-02-06,BIIB,820,0.4174999999999969,0.4299999999999784,197.5025,197.32,197.36,32,
2026-02-06,BIIB,822,0.26783783783783466,0.27000000000001023,197.645,197.49,197.8,37,
2026-02-06,MOH,605,0.4217142857142848,0.39000000000000057,131.7125,131.38,132.21,420,
2026-02-06,MOH,955,0.15792899408283922,0.13999999999998636,131.445,131.44,131.64,338,
2026-02-06,PRLB,871,0.4123076923076917,0.4200000000000017,66.50999999999999,66.3,66.3,26,
2026-02-06,TREE,740,0.21854545454545202,0.259999999999998,48.03,47.89,48.2,55,
