day,em,xm,symbol,net,wk,split
2025-04-17,581,687,MLGO,-1.0958413922171655,2025-04-12/2025-04-18,TRAIN
2025-04-21,572,572,GPCR,-1.2515885503996969,2025-04-19/2025-04-25,TRAIN
2025-04-21,574,955,ZVZZT,-0.02946782548395513,2025-04-19/2025-04-25,TRAIN
2025-04-21,575,592,ENGS,-1.1335859401259887,2025-04-19/2025-04-25,TRAIN
2025-04-21,577,748,MTSR,2.0,2025-04-19/2025-04-25,TRAIN
2025-04-22,571,574,BULL,-1.1953677580425857,2025-04-19/2025-04-25,TRAIN
2025-04-22,571,579,HTZ,2.0,2025-04-19/2025-04-25,TRAIN
2025-04-22,572,588,JNVR,-1.100322601823114,2025-04-19/2025-04-25,TRAIN
2025-04-22,572,574,USAR,2.0,2025-04-19/2025-04-25,TRAIN
2025-04-23,571,955,IMCR,-0.0769023967345585,2025-04-19/2025-04-25,TRAIN
2025-04-23,571,572,MLGO,2.0,2025-04-19/2025-04-25,TRAIN
2025-04-23,571,605,ZYBT,-1.1031055904614604,2025-04-19/2025-04-25,TRAIN
2025-04-23,573,619,MCRB,2.0,2025-04-19/2025-04-25,TRAIN
2025-04-24,577,955,DAR,0.03910130978233239,2025-04-19/2025-04-25,TRAIN
2025-04-24,579,955,TRU,1.3861984903477582,2025-04-19/2025-04-25,TRAIN
2025-04-24,583,955,TFII,1.3553531664825629,2025-04-19/2025-04-25,TRAIN
2025-04-24,596,955,DOV,0.2433334339178805,2025-04-19/2025-04-25,TRAIN
2025-04-25,571,955,MMSI,-0.2977650644617081,2025-04-19/2025-04-25,TRAIN
2025-04-25,572,955,NVMI,-0.16265533389122705,2025-04-19/2025-04-25,TRAIN
2025-04-25,573,955,SKYW,-0.49136956775719587,2025-04-19/2025-04-25,TRAIN
2025-04-25,573,955,WSFS,-0.2543249123157126,2025-04-19/2025-04-25,TRAIN
2025-04-28,573,955,BKU,-0.37232402338924325,2025-04-26/2025-05-02,TRAIN
2025-04-28,600,955,TSDD,-0.23720521804897945,2025-04-26/2025-05-02,TRAIN
2025-04-28,600,955,TSLQ,-0.20525790534641242,2025-04-26/2025-05-02,TRAIN
2025-04-28,661,955,ECO,-0.05246033147901586,2025-04-26/2025-05-02,TRAIN
2025-04-29,579,955,GLW,0.08228082870356482,2025-04-26/2025-05-02,TRAIN
2025-04-29,580,745,BULL,-1.10824720216653,2025-04-26/2025-05-02,TRAIN
2025-04-29,585,955,HLIT,0.08647030323883582,2025-04-26/2025-05-02,TRAIN
